fips,unemp,extra_column
1001,5.3,8
1003,5.4,33
1005,8.6,68
1007,6.6,93
1009,5.5,92
1011,7.2,50
1013,7.1,76
1015,6.7,92
1017,5.5,6
1019,5.2,72
1021,5.6,86
1023,8.9,93
1025,11.1,60
1027,6.2,21
1029,6.1,51
1031,6.1,94
1033,7.0,37
1035,8.6,99
1037,6.1,44
1039,7.0,48
1041,6.0,91
1043,5.1,76
1045,5.9,85
1047,9.4,30
1049,6.2,70
1051,4.9,68
1053,6.7,26
1055,6.0,27
1057,7.0,36
1059,6.1,45
1061,5.9,92
1063,10.1,68
1065,7.8,50
1067,6.6,12
1069,5.9,58
1071,6.4,26
1073,5.9,19
1075,5.7,76
1077,6.4,44
1079,7.0,73
1081,5.3,57
1083,5.3,62
1085,10.8,66
1087,7.7,81
1089,5.2,33
1091,7.4,56
1093,6.7,26
1095,5.5,35
1097,6.9,47
1099,9.4,27
1101,5.9,63
1103,5.6,45
1105,10.6,19
1107,6.9,19
1109,6.4,41
1111,5.7,31
1113,5.6,24
1115,5.3,12
1117,4.4,25
1119,7.8,94
1121,6.8,58
1123,5.6,57
1125,5.8,61
1127,7.6,93
1129,8.7,8
1131,14.7,34
1133,7.3,13
2013,2.7,57
2016,3.3,38
2020,5.3,40
2050,14.1,51
2060,6.9,36
2068,8.6,50
2070,9.7,76
2090,5.7,7
2100,9.8,17
2105,11.5,17
2110,4.4,20
2122,8.2,39
2130,6.2,58
2150,5.0,21
2158,21.3,68
2164,12.3,57
2170,8.1,87
2180,12.5,84
2185,6.5,50
2188,15.7,33
2195,8.6,46
2198,11.7,43
2220,4.3,1
2230,10.6,67
2240,10.2,52
2261,8.2,49
2275,7.3,52
2282,8.1,5
2290,17.2,59
4001,11.3,81
4003,6.1,26
4005,5.9,80
4007,7.2,31
4009,6.7,50
4011,7.6,18
4012,6.0,63
4013,4.5,90
4015,6.6,78
4017,8.1,26
4019,4.9,31
4021,5.5,17
4023,9.9,83
4025,4.9,82
4027,18.6,44
5001,3.5,65
5003,6.3,48
5005,4.3,17
5007,2.9,37
5009,3.7,98
5011,5.2,69
5013,4.7,23
5015,3.6,16
5017,6.6,67
5019,4.5,56
5021,5.7,32
5023,6.0,57
5025,4.6,34
5027,5.8,4
5029,5.8,35
5031,3.3,74
5033,3.9,82
5035,4.6,18
5037,4.5,45
5039,5.0,98
5041,5.5,1
5043,5.8,18
5045,3.8,72
5047,4.1,6
5049,4.4,31
5051,4.3,60
5053,3.6,99
5055,4.3,34
5057,3.8,11
5059,4.0,31
5061,3.3,31
5063,5.0,56
5065,5.6,17
5067,6.2,64
5069,5.6,50
5071,4.8,34
5073,5.9,77
5075,4.4,8
5077,4.8,47
5079,4.9,79
5081,4.7,27
5083,4.6,9
5085,3.4,1
5087,3.2,7
5089,4.0,28
5091,4.2,73
5093,6.8,59
5095,4.9,77
5097,5.3,20
5099,3.7,34
5101,3.9,52
5103,5.1,77
5105,4.8,5
5107,5.9,54
5109,4.3,51
5111,4.3,13
5113,4.9,20
5115,4.6,45
5117,3.9,58
5119,3.6,76
5121,4.7,10
5123,5.2,6
5125,3.2,39
5127,3.8,77
5129,4.5,88
5131,3.7,43
5133,5.0,39
5135,5.5,24
5137,5.2,37
5139,5.5,43
5141,7.0,23
5143,2.7,8
5145,5.2,63
5147,5.5,93
5149,4.5,30
6001,4.2,93
6003,6.5,12
6005,5.9,67
6007,6.5,32
6009,5.6,70
